Iteration,Cost,Temperature,Sequence
0,40,2,995732,5 3 6 4 2 1
1,52,1,097189,5 4 6 3 2 1
2,54,0,09275119,5 4 6 1 2 3
3,48,NaN,5 6 4 1 2 3
4,48,NaN,5 6 4 1 2 3
5,48,NaN,5 6 4 1 2 3
6,48,NaN,5 6 4 1 2 3
7,48,NaN,5 6 4 1 2 3
8,48,NaN,5 6 4 1 2 3
9,48,NaN,5 6 4 1 2 3
10,48,NaN,5 6 4 1 2 3
11,48,NaN,5 6 4 1 2 3
12,48,NaN,5 6 4 1 2 3
13,48,NaN,5 6 4 1 2 3
14,48,NaN,5 6 4 1 2 3
15,48,NaN,5 6 4 1 2 3
16,48,NaN,5 6 4 1 2 3
17,48,NaN,5 6 4 1 2 3
18,48,NaN,5 6 4 1 2 3
19,48,NaN,5 6 4 1 2 3
20,48,NaN,5 6 4 1 2 3
21,48,NaN,5 6 4 1 2 3
22,48,NaN,5 6 4 1 2 3
23,48,NaN,5 6 4 1 2 3
24,48,NaN,5 6 4 1 2 3
25,48,NaN,5 6 4 1 2 3
26,48,NaN,5 6 4 1 2 3
27,48,NaN,5 6 4 1 2 3
28,48,NaN,5 6 4 1 2 3
29,48,NaN,5 6 4 1 2 3
30,48,NaN,5 6 4 1 2 3
31,48,NaN,5 6 4 1 2 3
32,48,NaN,5 6 4 1 2 3
33,48,NaN,5 6 4 1 2 3
34,48,NaN,5 6 4 1 2 3
35,48,NaN,5 6 4 1 2 3
36,48,NaN,5 6 4 1 2 3
37,48,NaN,5 6 4 1 2 3
38,48,NaN,5 6 4 1 2 3
39,48,NaN,5 6 4 1 2 3
40,48,NaN,5 6 4 1 2 3
41,48,NaN,5 6 4 1 2 3
42,48,NaN,5 6 4 1 2 3
43,48,NaN,5 6 4 1 2 3
44,48,NaN,5 6 4 1 2 3
45,48,NaN,5 6 4 1 2 3
46,48,NaN,5 6 4 1 2 3
47,48,NaN,5 6 4 1 2 3
48,48,NaN,5 6 4 1 2 3
49,48,NaN,5 6 4 1 2 3
50,48,NaN,5 6 4 1 2 3
51,48,NaN,5 6 4 1 2 3
52,48,NaN,5 6 4 1 2 3
53,48,NaN,5 6 4 1 2 3
54,48,NaN,5 6 4 1 2 3
55,48,NaN,5 6 4 1 2 3
56,48,NaN,5 6 4 1 2 3
57,48,NaN,5 6 4 1 2 3
58,48,NaN,5 6 4 1 2 3
59,48,NaN,5 6 4 1 2 3
60,48,NaN,5 6 4 1 2 3
61,48,NaN,5 6 4 1 2 3
62,48,NaN,5 6 4 1 2 3
63,48,NaN,5 6 4 1 2 3
64,48,NaN,5 6 4 1 2 3
65,48,NaN,5 6 4 1 2 3
66,48,NaN,5 6 4 1 2 3
67,48,NaN,5 6 4 1 2 3
68,48,NaN,5 6 4 1 2 3
69,48,NaN,5 6 4 1 2 3
70,48,NaN,5 6 4 1 2 3
71,48,NaN,5 6 4 1 2 3
72,48,NaN,5 6 4 1 2 3
73,48,NaN,5 6 4 1 2 3
74,48,NaN,5 6 4 1 2 3
75,48,NaN,5 6 4 1 2 3
76,48,NaN,5 6 4 1 2 3
77,48,NaN,5 6 4 1 2 3
78,48,NaN,5 6 4 1 2 3
79,48,NaN,5 6 4 1 2 3
80,48,NaN,5 6 4 1 2 3
81,48,NaN,5 6 4 1 2 3
82,48,NaN,5 6 4 1 2 3
83,48,NaN,5 6 4 1 2 3
84,48,NaN,5 6 4 1 2 3
85,48,NaN,5 6 4 1 2 3
86,48,NaN,5 6 4 1 2 3
87,48,NaN,5 6 4 1 2 3
88,48,NaN,5 6 4 1 2 3
89,48,NaN,5 6 4 1 2 3
90,48,NaN,5 6 4 1 2 3
91,48,NaN,5 6 4 1 2 3
92,48,NaN,5 6 4 1 2 3
93,48,NaN,5 6 4 1 2 3
94,48,NaN,5 6 4 1 2 3
95,48,NaN,5 6 4 1 2 3
96,48,NaN,5 6 4 1 2 3
97,48,NaN,5 6 4 1 2 3
98,48,NaN,5 6 4 1 2 3
99,48,NaN,5 6 4 1 2 3
